,T.oceanica,Tetraselmis sp.,H.niei ,Synechococcus sp.,D.brightwelli,N.oculata
,,,,,,
,CS-67,CS-87,CS-89,CS-94,CS-131,CS-189
,Bacillariophyceae ,Prasinophyceae,Dinophyceae ,Cyanophyceae,Bacillariophyceae ,Eustigmataceae
,2.67,4.01,5.47,6.27,4.04,6.46
Wavelength (nm),,,,,,
,,,,,,
583.4,0.0105,0.0122,0.0242,0.1143,0.0145,0.0440
582.6,0.0103,0.0122,0.0241,0.1125,0.0144,0.0435
581.7,0.0103,0.0120,0.0241,0.1109,0.0144,0.0433
580.9,0.0104,0.0116,0.0239,0.1098,0.0145,0.0428
580.0,0.0105,0.0113,0.0239,0.1085,0.0145,0.0424
579.1,0.0105,0.0111,0.0242,0.1071,0.0145,0.0418
578.3,0.0103,0.0110,0.0242,0.1057,0.0145,0.0411
577.4,0.0104,0.0110,0.0243,0.1042,0.0144,0.0405
576.6,0.0105,0.0107,0.0246,0.1028,0.0145,0.0398
575.7,0.0105,0.0106,0.0246,0.1011,0.0144,0.0391
574.9,0.0105,0.0100,0.0250,0.0994,0.0142,0.0385
574.0,0.0105,0.0098,0.0252,0.0978,0.0141,0.0380
573.2,0.0106,0.0095,0.0256,0.0960,0.0138,0.0376
572.3,0.0109,0.0093,0.0260,0.0940,0.0138,0.0370
571.5,0.0108,0.0088,0.0262,0.0921,0.0137,0.0365
570.6,0.0107,0.0086,0.0264,0.0903,0.0139,0.0361
569.8,0.0108,0.0083,0.0270,0.0885,0.0137,0.0355
568.9,0.0109,0.0080,0.0274,0.0868,0.0139,0.0350
568.1,0.0109,0.0076,0.0281,0.0848,0.0140,0.0343
567.2,0.0109,0.0073,0.0286,0.0833,0.0143,0.0335
566.3,0.0110,0.0072,0.0295,0.0818,0.0145,0.0331
565.5,0.0114,0.0069,0.0302,0.0802,0.0148,0.0326
564.6,0.0116,0.0064,0.0314,0.0786,0.0148,0.0322
563.8,0.0117,0.0062,0.0325,0.0772,0.0152,0.0319
562.9,0.0121,0.0063,0.0335,0.0756,0.0154,0.0314
562.1,0.0122,0.0061,0.0346,0.0743,0.0153,0.0311
561.2,0.0124,0.0060,0.0360,0.0728,0.0154,0.0311
560.4,0.0125,0.0057,0.0371,0.0714,0.0155,0.0310
559.5,0.0127,0.0055,0.0384,0.0699,0.0158,0.0310
558.7,0.0129,0.0055,0.0396,0.0687,0.0160,0.0308
557.8,0.0133,0.0053,0.0409,0.0675,0.0162,0.0309
557.0,0.0134,0.0050,0.0423,0.0662,0.0166,0.0311
556.1,0.0136,0.0049,0.0438,0.0650,0.0172,0.0313
555.3,0.0140,0.0049,0.0449,0.0639,0.0176,0.0315
554.4,0.0143,0.0048,0.0463,0.0630,0.0181,0.0316
553.5,0.0146,0.0046,0.0479,0.0624,0.0182,0.0319
552.7,0.0147,0.0046,0.0492,0.0614,0.0184,0.0323
551.8,0.0149,0.0048,0.0505,0.0608,0.0187,0.0326
551.0,0.0150,0.0047,0.0522,0.0603,0.0191,0.0329
550.1,0.0153,0.0046,0.0538,0.0601,0.0192,0.0334
549.3,0.0155,0.0044,0.0553,0.0603,0.0195,0.0337
548.4,0.0158,0.0043,0.0571,0.0604,0.0196,0.0343
547.6,0.0160,0.0042,0.0586,0.0604,0.0198,0.0348
546.7,0.0162,0.0041,0.0603,0.0609,0.0202,0.0354
545.9,0.0163,0.0041,0.0614,0.0612,0.0203,0.0360
545.0,0.0167,0.0041,0.0628,0.0617,0.0203,0.0366
544.2,0.0169,0.0043,0.0642,0.0621,0.0207,0.0371
543.3,0.0172,0.0043,0.0658,0.0622,0.0209,0.0378
542.5,0.0175,0.0043,0.0669,0.0626,0.0212,0.0388
541.6,0.0177,0.0043,0.0683,0.0634,0.0216,0.0395
540.7,0.0180,0.0043,0.0694,0.0645,0.0219,0.0403
539.9,0.0186,0.0042,0.0710,0.0656,0.0222,0.0412
539.0,0.0188,0.0041,0.0725,0.0670,0.0224,0.0422
538.2,0.0191,0.0039,0.0738,0.0688,0.0225,0.0432
